id,name,nature,culture,entertainment,food,activity,tags,latitude,longitude,image_url,district
1,藤枝國家森林遊樂區,1,0.2,0.1,0.1,0.9,"風景,戶外運動,登山",23.06783909,120.7547119,https://taiwan.sharelife.tw/tw-news-img/61749/bd54271221333916.jpg,桃源區
2,中都愛河濕地公園,0.9,0.3,0.2,0.1,0.6,"風景,親子,戶外運動",22.64649379,120.2833077,https://khh.travel/image/888/1024x768,三民區
3,檨仔林埤濕地公園,0.9,0.2,0.1,0.1,0.5,"風景,戶外運動",22.6727177,120.3270874,https://khh.travel/image/195/1024x768,三民區
4,愛河之心,0.8,0.4,0.5,0.3,0.5,"風景,打卡點,夜景",22.6526868,120.3031612,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTRhZQwQkCsN2k9fU0-8GZg1Y-OqGSA6PJZrQGCa5YM03QzDrJpYSrJKkfB7zyJ,三民區
5,中都唐榮磚窯廠,0.3,0.9,0.2,0.1,0.3,"古蹟,藝文,打卡點",22.64199044,120.2850039,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR911pdFqRc3vRa5Iro_QtEwNbYprE00Um-nDUyWYHOabgiig-Rgq4l73FM3TtB,三民區
6,新客家文化園區,0.4,0.9,0.4,0.5,0.2,"藝文,古蹟,室內",22.65031666,120.2957947,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ0OcuISjZm_vJjDWqhPIekrXm3lHR4vhLRt3claUKgbDAYziSIVSzIxjVp7REX,三民區
7,金獅湖風景區,0.8,0.6,0.2,0.2,0.4,"風景,廟宇",22.6642336,120.3276114,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT8ykkMkb9FRBNteuCS_Qu3bb99sZrWFt2lKIShHbsSd4v5m_pbzS7a5PtxT9u9,三民區
8,彪琥台灣鞋故事館,0.1,0.6,0.8,0.2,0.3,"觀光工廠,室內,親子",22.6534888,120.3138076,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSYTROOl68_OdxXTVbQzqc8fDXV-zKz8JYT0I7bytkzf9QkA4pG6CAXLZMkNqs5,三民區
9,國定古蹟-竹仔門電廠,0.4,0.9,0.2,0.1,0.3,"古蹟,風景",22.86939693,120.5863934,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRVybWN70t98LoKQqZPAhVX6DMvAPNmULXm5ttrEp-Y72vuQXc7Q-jIHVOdHYLw,美濃區
10,佛光緣美術館,0.2,0.9,0.3,0.1,0.1,"藝文,室內,靜態",22.75226817,120.444606,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTcFd6SHfUdVCFQ6hJ67qnFSLlkIUXFpMGVDulnbns30oGwFrmn2holMQdcWp9y,大樹區
