name,area,days,time,latitude,longitude,image_url
五甲自強夜市,鳳山區,"0,1,2,3,4,5,6",18:00~23:00,22.59525496,120.3275882,https://khh.travel/image/50485/1920x1080
鳳山夜市,鳳山區,"0,1,2,3,4,5,6",18:00~24:00,22.62258345,120.3583881,https://orange-dog.com/wp-content/uploads/blogger/c1.staticflickr.com/5/4360/36632331790_21779d9870_c.jpg
鳳山中華街觀光夜市,鳳山區,"0,1,2,3,4,5,6",08:00~24:00,22.62660463,120.3556963,https://i0.wp.com/ekangwoman.com/wp-content/uploads/2023/02/20230205081438_63.jpg?resize=1000%2C667&quality=100&ssl=1
鳳山海洋夜市,鳳山區,3,17:00~23:00,22.61158494,120.3475092,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqfXJgxvweVQ8PkPPlSS61TEzw96_tfNPvHw&s
鳳山南光街夜市,鳳山區,5,18:00~23:00,22.59343312,120.3307676,https://cdn2.ettoday.net/images/2911/d2911704.jpg
鳳山大明路夜市,鳳山區,1,17:00~23:30,22.60983752,120.3416662,https://nellydyu.tw/wp-content/uploads/20230802094141_60.jpg
鳳山開漳聖王夜市,鳳山區,1,17:30~24:00,22.62727808,120.3523892,https://permio1.com/wp-content/uploads/flickr/40763211682_5700a0f340_o.jpg
鳳山青年夜市,鳳山區,"0,3,4,5,6",18:00~23:30,22.60994365,120.352594,https://khh.travel/image/43397/1920x1080
鳳山國光路夜市,鳳山區,0,18:00~22:00,22.61857141,120.3527365,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzGEgxO0NScQwBq61Xd587Xj_-blsjI7lkzBx-5__Q5ByPIJe2OQG8PQ-OyfNaLpgGLnKmHOt6i5eYZ1OTeyC9j1_-mJ_pavcbO5vjnUqcAoZ1667l6yoxwcYRV6S-wMaVWI9oE1g=s1360-w1360-h1020-rw
六合夜市,新興區,"0,1,2,3,4,5,6",17:00~24:00,22.63207646,120.2991457,https://www.taiwan.net.tw/att/1/big_scenic_spots/pic_2245_12.jpg
南華觀光夜市,新興區,"0,1,2,3,4,5,6",12:00~22:00,22.63114897,120.3028968,https://khh.travel/image/1795/1024x768
忠孝夜市,苓雅區,"0,1,2,3,4,5,6",16:00~01:00,22.6212033,120.3076235,https://www.taiwan.net.tw/att/1/big_scenic_spots/pic_A12-00060_1.jpg
興中夜市,苓雅區,"0,1,2,3,4,5,6",16:00~01:30,22.61484774,120.3068623,https://cdn2.ettoday.net/images/2289/d2289247.jpg
自強夜市,苓雅區,"0,1,2,3,4,5,6",17:00~01:00,22.61701782,120.2984925,https://khh.travel/image/50492/1920x1080
瑞豐夜市,左營區,"1,3,4,5,6",17:00~24:00,22.66601843,120.2993445,https://khh.travel/image/55694/1920x1080
鹽埕埔夜市,鹽埕區,5,17:30~22:30,22.62305067,120.2789442,https://photo.travelking.com.tw/scenery/17003EC4-A79D-4B9C-B8F1-363C23476649_e.jpg
南衙夜市,前鎮區,4,18:00~24:00,22.57889399,120.3253142,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwWt4IftQs_IsJwTZ0NbBa1TsCYmFUW2Rt1PqMRfCWaqtQsPIOJ7EV692-ER6bcazuNTf-ZbVcDjR09sUszW1KszagegkZKPoqDaWbC9z_8Get4lAumm2Q0fXwlPTyvnc0V-ZaA=s1360-w1360-h1020-rw
光華夜市,前鎮區,"0,1,2,3,4,5,6",17:00~01:00,22.61822044,120.3178261,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c7/f5/84/guanghua-night-market.jpg?w=900&h=500&s=1
德昌夜市,前鎮區,"1,3",15:00~24:00,22.58363931,120.3167545,https://pic.pimg.tw/ksdelicacy/1460007567-2462568911.jpg?v=1460007655
佛光夜市,前鎮區,2,18:00~21:00,22.57167592,120.322009,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxEQz8wiQLK5bY18hjNPJE--54f1NLR2zoy0kNcZ5F0UB7y552dlgP2bjbSPZoARwwc2mUK5G1XqBiNxdoYxRdTxMRoyS_-YmGkbARvo7bENomQX8BRNWGZySNE4JAjllgi4lZAzC-Otnk0=s1360-w1360-h1020-rw
內惟夜市,鼓山區,"2,6",18:00~23:30,22.6601821,120.2809171,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/40/14/ce/caption.jpg?w=1200&h=1200&s=1
大社夜市,大社區,"2,5",17:00~22:30,22.72744386,120.35291,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXCwVbrT3ynV5v2qGDkQtyNEOVedqMQfkmtg&s
楠都夜市,楠梓區,6,18:00~23:00,22.72676204,120.3270478,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy_LPQecdtRNZVzdRsx9Y1LwV5S8xb9uaJbmm-l6Hj2lRgfuS8ba0jGrYealzS27zTnfH3GNiCDQKYE-djSbxC3Usp98S_wEDxzIy4uAl2oXovHbqIGvSGhl5Gk84_N127YqKg=s1360-w1360-h1020-rw
後勁夜市,楠梓區,"4,5",17:00~24:00,22.71977187,120.3112907,https://pic.pimg.tw/ksdelicacy/1561474139-2619270462.jpg?v=1561474151
土庫夜市,楠梓區,3,16:00~24:00,22.73979628,120.3327675,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxCnBKoYosHEQOOZV-G7xvnZHYsohTpNmv27mVdZAruIGaIyDm47RnTGy0UNaeQxLBKaLaGh4hh-n4LrwboucB1stFC5bEYGPN6vaI7s5NWS1MYQgiQi8Gm1KMHg4UdVK-p9Qfv=s1360-w1360-h1020-rw
鳥松夜市,鳥松區,1,16:00~22:30,22.662623,120.3620626,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwJNOe2EVqGrLX5_JkFfX5HRSZqeDqLfg1E-fQ_0J9TelyWmbnSxD4iaO5XnniFy4SefCjmJEnWevfj6_eVP2gAM83E-4E5RGRaUQ_yAP1hVREjiWK3Zpzv46_oiMxeVc1j51kA=s1360-w1360-h1020-rw
路竹夜市,路竹區,"2,4,5",18:00~23:30,22.85355651,120.2635236,https://pic.pimg.tw/ksdelicacy/1559545732-1423217196.jpg?v=1559545746
